,original_sentence,translation
0,وبالجملة: سوقوهم بأجمعهم عابداً ومعبوداً إلى نيران الطرد وجحيم الخذلان {وَقِفُوهُمْ} واحبسوهم في الموقف ساعة {إِنَّهُمْ مَّسْئُولُونَ} [الصافات: 24] عن أعمالهم التي جاءوا بها في نشأتهم الأولى محاسبون عليها.,"In summary: drive them all, worshippers and worshipped, to the fires of expulsion and the hell of abandonment. {And stop them} and detain them in the position for a moment. {Indeed, they are to be questioned} [As-Saffat: 24] about their deeds that they brought in their first creation, and they will be held accountable for them."
1,قوله تعالى: {وَقِفُوهُمْ} أي: احْبِسوهم {إِنَّهم مسؤولونَ} وقرأ ابن السميفع: {أنَّهم} بفتح الهمزة.,"""His saying, the Exalted: {And stop them}, that is, detain them {Indeed, they will be questioned}. And Ibn Al-Samif'ah recited: {that they} with the opening of the hamza."""
2,{وَقِفُوهُمْ إِنَّهُمْ مَّسْئُولُونَ} [آية: 24] فلما سيقوا إلى النار حبسوا فسألهم خزنة جهنم ألم تأتكم رسلكم بالبينات؟,"""Seize them, for they are to be questioned."" [Verse: 24] So when they are driven to the Fire, its keepers will say to them, ""Did not your messengers come to you with clear proofs?"""
3,قوله عز وجل: {وقفُوهم إنَّهم مسئولون} أي احبسوهم عن دخول النار.,"""His Exalted Word: {And stop them, for they are to be questioned} means: 'Hold them back from entering the Fire.'"""
4,السادس: مسئولون.,Sixth: Responsible.
5,فإن قيل: فهلا كانوا مسئولين قبل قوله {فاهْدوهم …} الآية؟,"If it is said: ""Then why were they not asked before He said, 'Guide them...' the verse?"""
6,{وقفوهم} احبسوهم {إنهم مسؤولون} عن أقوالهم وأفعالهم.,"""Arrest them, they will be questioned about their words and deeds."""
7,ثم قال (تعالى): {وَقِفُوهُمْ إِنَّهُمْ مَّسْئُولُونَ} أي: واحبسوهم أيها الملائكة إنهم مسؤولون.,"Then He (the Exalted) said: {And stop them, indeed they will be questioned} meaning: ""And hold them, O angels, for they will be questioned."""
8,وقيل: المعنى أنهم مسؤولون عما كانوا يعبدون من دون الله.,It was said: The meaning is that they will be held accountable for what they used to worship besides Allah.
9,{وقفوهم}، كما قال: {ولو ترى إذ وقفوا على النار} [الأَنعام: 27]، وهو توبيخ لهم، {إنهم مسؤولون}.,"""Stop them,"" as He said: ""And if you could see when they are made to stand before the Fire"" [Al-An'am: 27], and it is a rebuke to them, ""Indeed, they will be questioned."""
10,وقال الجمهور: وعن أعمالهم، ويوقفون على قبحها.,"And the people said: ""About their deeds, and they are stopped at their ugliness."""
11,قوله تعالى {وقفوهم إنهم مسئولون ما لكم لا تناصرون بل هم اليوم مستسلمون} قال في المجمع يقال وقفت أنا ووقفت غيري - أي يعدّي ولا يعدى - وبعض بني تميم يقول أوقفت الدابة والدار.,"""His saying, the Exalted: {And stop them, indeed, they will be questioned. What is [the matter] with you that you do not aid one another? Rather, they are this Day submissive.}"" He said in Al-Majma': It is said, ""I stopped"" and ""I stopped someone else"" - meaning, it is transitive and intransitive - and some of the Banu Tamim say, ""I stopped the animal and the house."""
12,فقوله {وقفوهم إنهم مسئولون} أي احبسوهم لأنهم مسئولون أي حتى يسأل عنهم.,"His saying, ""And stop them, indeed they are to be questioned,"" means: detain them because they are to be questioned, i.e., until they are asked about."
13,وفي المجمع في قوله تعالى {وقفوهم إنهم مسؤولون} قيل عن ولاية علي عليه السلام عن أبي سعيد الخدري.,"""In the narration, in the saying of Allah the Exalted: {And stop them, indeed, they will be questioned}, it was said about the authority of Ali, peace be upon him, from Abu Sa'id al-Khudri."""
14,وفي نهج البلاغة اتقوا الله في عباده وبلاده فإنكم مسؤولون حتى عن البقاع والبهائم.,"""In the Nahj al-Balagha, 'Fear Allah in His servants and His lands, for you will be held accountable even for the lands and the beasts.'"""
15,{وَقِفُوهُمْ إِنَّهُمْ مَّسْئُولُونَ} أي احبسوهم، يقال وقفت الدابة أقفها وقفاً، فوقفت هي وقوفاً يتعدّى، ولا يتعدّى، وهذا الحبس لهم يكون قبل السوق إلى جهنم، أي وقفوهم للحساب، ثم سوقوهم إلى النار بعد ذلك، وجملة {إِنَّهُمْ مَّسْئُولُونَ} تعليل للجملة الأولى.,"""Arrest them, for they are to be questioned."" It is said, ""I stopped the beast, I stop it, stopping,"" so it stops, it is transitive and intransitive. This arrest of them is before driving them to Hell. That is, arrest them for the reckoning, then drive them to the Fire after that. The sentence ""they are to be questioned"" is a reason for the first sentence."
16,قال الكلبي أي مسئولون عن أعمالهم وأقوالهم وأفعالهم.,"He said, ""They are responsible for their deeds, words, and actions."""
17,وأخرج عنه أيضاً في قوله {وَقِفُوهُمْ إِنَّهُمْ مَّسْئُولُونَ} قال احبسوهم إنهم محاسبون.,"""And He also brought out from him in His saying, 'And stop them, indeed, they are to be questioned.' He said, 'Detain them, they will be held accountable.'"""
18,{وقِفُوهُم}: احبسوهم {إِنهم مسؤولون} عن أقوالهم وأفعالهم وعقائدهم، {ما لكم لا تَنَاصَرُون} لا ينصر بعضكم بعضاً.,"""Arrest them! They are to be questioned about their words, deeds, and beliefs. 'What is the matter with you that you do not help each other?'"""
19,قوله تعالى: {وَقِفُوهُمْ إِنَّهُمْ مَّسْئُولُونَ} وحكى عيسى بن عمر «أَنَّهُمْ» بفتح الهمزة.,"His Exalted saying: {And stop them, indeed they are to be questioned} and Isa bin Umar narrated that ""they"" with the opening of the hamza."
20,«إِنَّهُمْ مَسْئُولُونَ» عن أعمالهم وأقوالهم وأفعالهم قاله القرظي والكلبي.,"""They will be questioned"" about their deeds, words, and actions. This was said by Al-Qurazi and Al-Kalbi."
21,الأخفش: ملقون بأيديهم.,The one who is light-handed.
22,{وقفوهم} أي قفوا هؤلاء الكفار وأحبسوهم عن دخول النار {إنهم مسؤولون} روى أنس بن مالك مرفوعاً أنهم مسؤولون عما دعوا إليه من البدع.,"""Arrest them"" i.e., stop these disbelievers and detain them from entering the Fire ""Indeed, they will be questioned"" Anas bin Malik narrated that they will be questioned about the innovations they were called to."
23,وقيل: مسؤولون عن أعمالهم وخطاياهم عن الضحاك.,"It was said: They are responsible for their deeds and their sins, from Al-Dhahhak."
24,24 - واحبسوهم فى هذا الموقف، إنهم مسئولون عن عقائدهم وأعمالهم.,"24 - Detain them in this position, they are responsible for their beliefs and deeds."
