,original_sentence,translation
0,ثم بين أنه جعل الكواكب بحيث يشاهدها الناس من السماء الدنيا وهي تأنيث الأدنى لمنفعتين: الأولى تحصيل الزينة، والثانية الحفظ من الشيطان.,"Then He explained that He made the stars so that people could see them from the lower sky, and they are the feminine of the lowest, for two benefits: the first is to obtain adornment, and the second is to protect from the devil."
1,وبالجملة إشراق الجواهر الزواهر وتلألؤها على بسيط أزرق بنظام مخصوص مما يروق الناظر، ويجوز أن يقع {الكواكب} بياناً للزينة وهي اسم لأن الزينة مبهمة في الكواكب وغيرها مما يزان به فيكون كخاتم فضة.,"""In general, the radiance of the bright gems and their twinkling on a blue plain in a special order is pleasing to the viewer. It is possible that {the stars} are an explanation of the adornment, and it is a name because the adornment is ambiguous in the stars and other things with which it is adorned, so it is like a silver ring."""
2,ويجوز أن يراد بالزينة ما زينت به الكواكب كما روي عن ابن عباس أنه فسر الزينة بالضوء.,"It is permissible that the adornment refers to what the stars are adorned with, as it is narrated from Ibn Abbas that he interpreted the adornment as light."
3,ومن قرأ باتنوين {زينة} وجر {الكواكب} فعلى الإبدال، ومن قرأ بتنوين {زينة} ونصب {الكواكب} فعلى أنه بدل من محل {بزينة} أو من السماء، أو على أن المراد بتزيينها الكواكب كما في أحد وجوه الإضافة.,"And whoever reads with the nunation {Zīna} and the genitive {al-kawkab} then it is on the basis of substitution, and whoever reads with the nunation {Zīna} and the accusative {al-kawkab} then it is on the basis that it is a substitute for the place of {bizīna} or from the sky, or on the basis that the meaning of adorning it is the stars as in one of the aspects of addition."
4,قوله {وحفظاً} فيه وجوه أحدها: أنه محمول على المعنى والتقدير: إنا خلقنا الكواكب زينة للسماء وحفظاً من الشياطين.,"His saying {and as a protection} has several meanings. One of them is that it is carried on the meaning and the estimation: ""Indeed, We created the stars as an adornment for the sky and as a protection from the devils."""
5,وثانيها أن يقدر مثل الفعل المتقدم للتعليل كأنه قيل: وحفظاً من كل شيطان زيناها بالكواكب.,"And secondly, to estimate like the preceding action for the sake of explanation, as if it were said: ""And to protect from every devil, We adorned it with stars."""
6,{إِنَّا زَيَّنَّا ٱلسَّمَآءَ ٱلدُّنْيَا بِزِينَةٍ ٱلْكَوَاكِبِ} قرأ عاصم برواية أبي بكر (بزينة) منونة (الكواكب) نصباً، يعني بتزييننا الكواكب، وقيل: أعني الكواكب، وقرأ حمزة وعاصم في سائر الروايات (بزينة) منونة.,"""Indeed, We have adorned the nearest heaven with the adornment of the stars."" Asim, according to the narration of Abu Bakr, read (بزينة) with a nunation and (الكواكب) in the accusative case, meaning by Our adorning the stars. It has also been said: meaning the stars. And Hamza and Asim in the rest of the narrations read (بزينة) with a nunation."
7,{ٱلْكَوَاكِبِ} خفضاً على البدل، أي بزينة الكواكب.,"""The stars"" as a substitute, meaning with the adornment of the stars."
8,وقرأ الباقون {بِزِينَةٍ ٱلْكَوَاكِبِ} مضافة.,And the rest read {with the adornment of the stars} added.
9,{وَحِفْظاً} أي وحفظناها حفظاً، أو وجعلناها أيضاً حفظاً، وذلك شائع في اللغة {مِّن كُلِّ شَيْطَانٍ مَّارِدٍ}: خبيث خال عن الخير.,"""and to preserve it"" or ""and We made it also a preservation"" and that is common in the language ""from every rebellious devil"": evil devoid of good."
10,قوله: (من الأوثان) أي كالأصنام والشمس والقمر.,"His saying: ""(of the idols)"" means like statues, the sun, and the moon."
11,{إِنَّا زَيَّنَّا ٱلسَّمَآءض ٱلدُّنْيَا} القربى منكم تأنيث الأدنى {بِزِينَةٍ ٱلْكَوٰكِبِ} حفص وحمزة على البدل من {زينة} والمعنى إنا زينا السماء الدنيا بالكواكب، {بِزِينَةٍ ٱلْكَوٰكِبِ} أبو بكر على البدل من محل {بزينة} أو على إضمار أعني أو على إعمال المصدر منوناً في المفعول، {بِزِينَة ٱلْكَوٰكِبِ} غيرهم بإضافة المصدر إلى الفاعل أي بأن زانتها الكواكب وأصله بزينةٍ الكواكبُ أو على إضافته إلى المفعول أي بأن زان الله الكواكب وحسنها، لأنها إنما زينت السماء لحسنها في أنفسها وأصله {بِزِينَةٍ ٱلْكَوٰكِبَ} لقراءة أبي بكر {وَحِفْظاً} محمول على المعنى لأن المعنى إنا خلقنا الكواكب زينة للسماء وحفظاً من الشياطين كما قال {وَلَقَدْ زَيَّنَّا ٱلسَّمَاء ٱلدُّنْيَا بِمَصَـٰبِيحَ وَجَعَلْنَـٰهَا رُجُوماً لّلشَّيَـٰطِينِ} [الملك: 5] أو الفعل المعلل مقدر كأنه قيل: وحفظاً من كل شيطان قد زيناها بالكواكب، أو معناه حفظناها حفظاً {مِّن كُلِّ شَيْطَـٰنٍ مَّارِدٍ} خارج من الطاعة.,"""Indeed, We have adorned the nearest heaven with an adornment, the planets, and for protection from every rebellious devil."""
