,original_sentence,translation
0,ووجه الاستدلال أن هذا الجسم لو لم يكن قابلاً للحياة لم يقبلها من أول الأمر، وإذا قبلها أوّلاً فلا يبقى ريب في قبولها ثانياً، وقادرية الله تعالى باقية على حالها فالإعادة أمر ممكن، وقد أخبر الصادق عن وقوعها فيجب وقوعها.,"The argument is that if this body had not been capable of life, it would not have accepted it from the beginning. And if it accepted it at first, there is no doubt that it will accept it again. And God's ability remains unchanged, so resurrection is possible. And the truthful one has informed us of its occurrence, so it must occur."
1,احتج نفاة عذاب القبر بقوله {إلا موتتنا الأولى} فإنه يدل على أن الإنسان لا يموت إلا موتة واحدة ولو حصلت الحياة في القبر لكان الموت حاصلاً مرتين.,"The deniers of the punishment of the grave argue with His saying, ""except for our first death,"" for it indicates that man dies only once. If there were life in the grave, then death would have occurred twice."
2,وأجيب بأن المراد بالموتة الأولى كل ما يقع في الدنيا.,And it is answered that the first death refers to everything that occurs in this world.
3,والمعنى كان يقول لي قريني مستبعداً منكراً ءإنك لمن المصدقين للبعث للجزاء ءإذا متنا وكنا تراباً وعظاماً فتلاشت أبداننا وتغيرت صورها ءإنا لمجزيون بالإِحياء والإِعادة؟,"The meaning was that my companion said to me, disbelieving and denying, ""Do you believe in the resurrection for recompense? When we die and become dust and bones, and our bodies disintegrate and their forms change, will we be recompensed with revival and return?"""
4,وقوله {أفما نحن بميتين إلا موتتنا الأولى وما نحن بمعذبين} الاستفهام للتقرير والتعجيب، والمراد بالموتة الأولى هي الموتة عن الحياة الدنيا وأما الموتة عن البرزخ المدلول عليها بقوله {ربنا أمتنا اثنتين وأحييتنا اثنتين} غافر 11 فلم يعبأ بها لأن الموت الذي يزعم الزاعم فيه الفناء والبطلان هو الموت الدنيوي.,"""And His saying, 'Are we not to die except our first death, and are we not to be punished?' The question is for affirmation and amazement. The first death refers to death from the worldly life. As for the death in the intermediate state, indicated by His saying, 'Our Lord, You have indeed given us death twice and granted us life twice,' (Ghafir 11), it is not considered because the death that is claimed to be annihilation and invalidation is the worldly death."""
5,والمعنى - على ما في الكلام من الحذف والإِيجاز - ثم يرجع القائل المذكور إلى نفسه وأصحابه فيقول متعجباً أنحن خالدون منعمون فما نحن بميتين إلا الموتة الأولى وما نحن بمعذبين؟,"The meaning - despite the brevity and omission in the speech - is that the mentioned speaker then turns to himself and his companions and says in amazement, ""Are we to remain forever, blessed? We will not die except the first death, and we will not be tormented?"""
6,فإن قيل: فما الفائدة في هذه الصيحة للأموات وهذه النفخة جارية مَجْرَى السبب لحياتهم فتكون مقدمة على حياتهم فلزم أن هذه الصيحة إنما تكون حالاً لكونهم أمواتاً فتكون الصيحة عديمة الفائدة فهي عَبَثٌ والعبث لا يجوز في فِعل الله؟,"If it is said: What is the benefit of this cry for the dead, and this blowing is like a cause for their life, so it is prior to their life, and it is necessary that this cry is only when they are dead, so the cry is useless, and it is futile, and futility is not permissible in the action of God?"
7,وهذه الصيحة لا تأثير لها في الحياة بدليل أن الصيحة الأولى استعقبها الموت والثانية الحياة وذلك يدل على أن الصيحة لا أثر لها في الموت ولا في الحياة بل خالق الموت والحياة هو الله (وذلك يدل على أن الصيحة لا أثر لها) كما قال: {ٱلَّذِي خَلَقَ ٱلْمَوْتَ وَٱلْحَيَاةَ} [الملك: 2] روي أن الله تعالى يأمرنا سراً قيل فينادى أَيَّتُّها العِظَامُ النَّخِرَة، والجُلُودُ البالية والأجزاء المتفرقة اجتمعوا بإذن الله تعالى.,"This cry has no effect on life, as evidence by the fact that the first cry was followed by death and the second by life. This indicates that the cry has no effect on death or life, but rather, the Creator of death and life is God. As He said: ""He who created death and life"" [Al-Mulk: 2]. It is narrated that God Almighty will secretly command, ""O bones that have decayed, and skins that have withered, and scattered parts, gather by the permission of God Almighty."""
8,أي هل لا تزال على اعتقادك بأننا لن نموت إلا موتةً واحدة، وأنه لا بعث ولا جزاء ولا حساب ولا عذاب؟,"Do you still believe that we will only die once, and that there is no resurrection, no reward, no reckoning, and no punishment?"
9,أجاب القاضي بأنه ورد الخبر بأنها تعاد وتحيا لتحصل المبالغة في توبيخ الكفار الذين كانوا يعبدونها ولقائل أن يقول هب أن الله تعالى يحيي تلك الأصنام إلا أنه لم يصدر عنها ذنب، فكيف يجوز من الله تعالى تعذيبها؟,"The judge responded that the news came that they would be resurrected and brought back to life to exaggerate the reprimand of the disbelievers who used to worship them. Someone might say, ""Suppose God, the Most High, brings those idols back to life, but they have not committed any sin, so how is it permissible for God, the Most High, to punish them?"""
10,والأقرب أن يقال إن الله تعالى لا يحيي تلك الأصنام بل يتركها على الجمادية.,"The closest thing to be said is that God Almighty does not bring those idols to life, but rather leaves them in their lifeless state."
