,original_sentence,translation
0,القراءات: {والصافات صفاً} وما بعدهما مدغماً: حمزة وأبو عمرو غير عباس {بزينة} منوناً: حمزة وعاصم غير المفضل {الكواكب} بالنصب: أبو بكر وحماد.,Readings: {And the ranks in ranks} and what follows it assimilated: Hamza and Abu Amr except Abbas {With adornment} with a nunation: Hamza and Asim except Al-Mufaddal {The stars} in the accusative case: Abu Bakr and Hammad.
1,وأيضاً الزاي مجهورة وفيها زيادة صفير.,"And also, Zay is voiced and has an additional hiss."
2,وأما التقدير الأوّل ففيه وجوه الأوّل: أنها صفة الملائكة لأنهم صفوف في السماء كصفوف المصلين في الأرض، أو أنهم يصفون أجنحتهم في الهواء واقفين منتظرين لأمر الله تعالى.,"As for the first estimation, there are several aspects to it. The first: It is an attribute of the angels, for they are in rows in the sky like the rows of worshippers on earth, or they arrange their wings in the air, standing and waiting for the command of Allah, the Most High."
3,والصف ترتيب الشيء على نسق.,The arrangement of things in order.
4,الفاعل صاف، والجماعة صافة، والصافات جمع الجمع ولولا ذلك لقيل والصافين.,"The doer is pure, and the group is pure, and the purest are the purest of the purest."
5,قال الحكيم: يشبه أن يكون معنى كونهم صفوفاً أن لكل منهم مرتبة معينة في الشرف أو بالغلبة.,The wise man said: It seems that the meaning of their being in rows is that each of them has a certain rank in honor or in dominance.
6,والزجر سوق السحاب.,The driving of the clouds.
7,قال ابن عباس: يعني الملائكة الموكلين بالسحاب.,"Ibn Abbas said: ""It means the angels entrusted with the clouds."""
8,والحاصل أن كونهم صافين إشارة إلى استكمال جواهر الملائكة في ذواتها أعني وقوفهم في مواقف العبودية والطاعة، وكونهم زاجرين إشارة إلى كيفية تأثيراتها في إزالة ما لا ينبغي من جواهر الأرواح البشرية، وكونهم تالين إشارة إلى كيفية تأثيراتها في إفاضة الجلايا القدسية والأنوار الإلهية على الأرواح الإنسانية.,"The result is that their being pure is an indication of the perfection of the essences of the angels in themselves, meaning their standing in the positions of servitude and obedience, and their being restrainers is an indication of the manner of their influences in removing what is not appropriate from the essences of human souls, and their being reciters is an indication of the manner of their influences in pouring forth the divine lights and the sacred effulgence upon human souls."
9,الوجه الثاني أنها صفات النفوس الإنسانية المقبلة على عبودية الله وعبادته وهم ملائكة الأرض، أقسم بنفوس المصلين بالجماعات الزاجرين أنفسهم عن الشهوات أو عن إلقاء وساوس الشيطان في قلوبهم أثناء الصلوات بتقديم الاستعاذة أو برفع الأصوات، التالين للقرآن في الصلاة وغيرها.,"The second aspect is that they are the attributes of human souls that turn to the worship and servitude of God, and they are the angels of the earth. He swears by the souls of those who pray in congregation, who restrain themselves from desires or from casting the whispers of Satan into their hearts during prayers by seeking refuge or by raising their voices, those who recite the Quran in prayer and otherwise."
10,أو أقسم بنفوس العلماء الصافات لأجل الدعوة إلى دين الله الزاجرات عن الشبهات والمنهيات بالمواعظ والنصائح الدارسات شرائع الله وكتبه لوجه الله، أو أقسم بنفوس المجاهدين في سبيل الله كقوله {إن الله يحب الذين يقاتلون في سبيله صفاً} [الصف: 4] والزجرة والصيحة سواء.,"I swear by the souls of the scholars who stand in rows for the call to the religion of God, who deter from doubts and prohibitions with exhortations and advice, who study the laws and books of God for the sake of God. I swear by the souls of those who strive in the way of God, as He says, ""Indeed, Allah loves those who fight in His cause in a row"" [Al-Saff: 4]. The deterrent and the cry are the same."
