,original_sentence,translation
0,المنَاسَبَة: لما ذكر قصة الخليل إبراهيم، وقصة الذبيح والفداء، أعقبها بذكر قصص بعض الأنبياء، كموسى وهارون، ويونس ولوط، وما في هذه القصة من العظات والعبر، وختم السورة الكريمة ببيان أن النصر والغلبة للرسل وأتباعهم المؤمنين.,"The occasion: When he mentioned the story of the friend of God, Abraham, and the story of the sacrifice and redemption, he followed it with the mention of the stories of some prophets, such as Moses and Aaron, Jonah and Lot, and the lessons and morals in these stories. He concluded the noble surah by stating that victory and triumph belong to the prophets and their believing followers."
1,{أَلاَ إِنَّهُم مِّنْ إِفْكِهِمْ لَيَقُولُونَ * وَلَدَ ٱللَّهُ} أي ألا فانتبهوا أيها الناس إن هؤلاء المشركين من كذبهم وافترائهم ينسبون إلى الله الذرية والولد {وَإِنَّهُمْ لَكَاذِبُونَ} أي وهم كاذبون قطعاً في قولهم الملائكة بناتُ الله قال أبو السعود: والآية استئناف مسوقٌ لإِبطال أصل مذهبهم الفاسد، ببيان أن مبناه ليس إلا الإِفك الصريح، والافتراء القبيح، من غير أن يكون لهم دليلٌ قطعاً {أَصْطَفَى ٱلْبَنَاتِ عَلَىٰ ٱلْبَنِينَ}؟,"""Indeed, they say, out of their falsehood, 'Allah has begotten,' but they are indeed liars. Do they attribute to Allah daughters and sons? Have they chosen daughters over sons?"""
2,فنزلت الآية ثم قال تعالى {فَإِذَا نَزَلَ بِسَاحَتِهِمْ فَسَآءَ صَبَاحُ ٱلْمُنْذَرِينَ} أي لا يستبعدوا ذلك فإِن العذاب إِذا نزل بفناء المكذبين فبئس هذا الصباح صباحهم، شبهه بجيشٍ هجم عليهم وقت الصباح فقطع دابرهم {وَتَوَلَّ عَنْهُمْ حَتَّىٰ حِينٍ * وَأَبْصِرْ فَسَوْفَ يُبْصِرُونَ} كرره تأكيداً للتهديد وتسلية للرسول صلى الله عليه وسلم {سُبْحَانَ رَبِّكَ رَبِّ ٱلْعِزَّةِ عَمَّا يَصِفُونَ} أي تنزه وتقدس ذو العزة والجبروت عما يصفه به المشركون {وَسَلاَمٌ عَلَىٰ ٱلْمُرْسَلِينَ * وَٱلْحَمْدُ للَّهِ رَبِّ ٱلْعَالَمِينَ} أي وسلامٌ منا على الرسل الكرام، والحمد لله في البد والختام لله ربّ الخلائق أجمعين.,"So the verse was revealed, then He, the Most High, said: ""But when it descends upon their courtyard, then evil is the morning of those warned."" That is, they should not consider it far-fetched, for when the punishment descends upon the courtyard of the deniers, then evil is their morning. It is likened to an army that attacked them at dawn and cut off their roots. ""And turn away from them for a while, and see, for they will see."" He repeated it to emphasize the threat and to console the Messenger, may the blessings and peace be upon him. ""Glory be to your Lord, the Lord of Honor, of what they describe."" That is, the Possessor of Honor and Majesty is exalted and sanctified from what the polytheists describe Him as. ""And peace be upon the messengers, and praise be to Allah, Lord of the worlds."" That is, peace be upon us to the honorable messengers, and praise be to Allah in the beginning and the end, to Allah, Lord of all creatures."
3,نزَّه تعالى نفسه عما وصفه به الكفار مما لا يليق به سبحانه، فإِنه حكى عنهم في هذه السورة أقوالاً كثيرة شنيعة، وختم بتعميم السلام على الرسل الكرام وبحمده سبحانه، وهو تعليم للعباد.,"He, the Exalted, has purified Himself from what the disbelievers have attributed to Him, which is not befitting of His Majesty. For He has narrated from them in this Surah many reprehensible statements, and He concluded with a general greeting of peace to the noble messengers and with His praise, the Exalted. And this is an instruction for the servants."
4,"ثم سلاه بوقائع الأمم الخالية تفصيلاً, وقدّم قصة نوح عليه السلام لكونه أباً ثانياً ونداؤه في قوله {رب انصرني بما كذبون} [المؤمنون: 26] أو قوله {رب لا تذر على الأرض من الكافرين دياراً} [نوح: 26] واللام الداخلة على {نعم} جواب قسم محذوف أو للابتداء، والمخصوص بالمدح وهو نحن محذوف، والجمع لتصوير العظمة والكبرياء، وفيه وفي فاء التعقيب في {فلنعم} دليل على أن نداء العظيم الكبير حقيق بأن يكون مقروناً بإجابة.","Then he mentioned the events of the past nations in detail, and he presented the story of Noah, peace be upon him, as he was a second father, and his call in his saying, ""My Lord, help me against them for they call me a liar!"" [Al-Mu'minun: 26] or his saying, ""My Lord, leave not on the earth a single dweller of the unbelievers!"" [Nuh: 26] And the lam (preposition) entering upon ""Indeed"" is for an omitted oath or for the beginning, and the one being praised, which is ""we,"" is omitted, and the plural is for depicting greatness and majesty, and in it and in the fā' (letter) of immediate consequence in ""Indeed, how excellent"" is evidence that the call of the Great and Mighty is worthy to be accompanied by an answer."
5,فسام أبو العرب وفارس والروم، وحام أبو السودان شرقاً وغرباً، ويافث أبو الترك والخزر ويأجوج ومأجوج وتركنا عليه في المتأخرين من الأمم هذه الكلمة وهي {سلام على نوح} ومعنى {في العالمين} أن هذه التحية ثبتها الله فيهم فيسلم الثقلان عليه إلى يوم القيامة.,"""Sam, the father of the Arabs, the Persians, and the Romans, and Ham, the father of the Sudanese, both east and west, and Japheth, the father of the Turks, the Khazars, Gog, and Magog. And we left this word with the later nations: 'Peace be upon Noah.' And the meaning of 'in the worlds' is that this greeting was established by Allah among them, so the two heavy ones (jinn and humans) will greet him until the Day of Resurrection."""
6,وحين تمم ما آل إليه أمر نوح وذريته ذكر عاقبة سائر قومه فقال {ثم أغرقنا الآخرين} أعاذنا الله من الإغراق والإِحراق وجعل فلكنا فلك نوح وسفرنا متضمناً للنصر والفتوح.,"When the matter of Noah and his descendants reached its end, he mentioned the fate of the rest of his people and said, ""Then We drowned the others."" May God protect us from drowning and burning, and may our journey be like Noah's ark, filled with victory and conquests."
7,"{لمثل هذا فليعمل العاملون} بل لمثل هذه الأمور تبذل الأرواح وتفدى الأشباح كما قيل: (شعر) على مثل ليلى يقتل المرء نفسه وإن بات من ليلى على اليأس والصدّ ثم أخبر بعد قصة الأولياء عن قصة الأعداء بقوله {أذلك خير نزلاً أم شجرة الزقوم} وفي قوله {كأنه رؤوس الشياطين} دليل على أن أفعالهم كانت في قبح صفات الشياطين فكانت مكافأتهم من جنس صورة الشياطين {سلام على نوح في العالمين} أنه تعالى سلم على نوح الروح لأنه يحتاج إلى سلام الله ليعبر على الصراط المستقيم الذي هو أدقَ من الشعر وأحدّ من السيف، ولهذا يكون دعوة الرسل حينئذ رب \"" سلم سلم \"".","""For such a thing, let the workers work."" Rather, for such matters, souls are sacrificed and lives are given. As it was said: (poetry) ""For the sake of one like Layla, a man sacrifices his soul, even if he is desperate and rejected by Layla."" Then, after mentioning the story of the friends, he mentioned the story of the enemies by saying, ""Is that a better abode, or the tree of Zaqqum?"" And in His saying, ""As if they were the heads of devils,"" there is evidence that their actions were as ugly as the qualities of devils, so their recompense was of the kind of the form of devils. ""Peace be upon Noah among the worlds."" He, the Exalted, sent peace upon Noah the spirit because he needs the peace of Allah to cross the straight path, which is thinner than hair and sharper than a sword. And for this reason, the invocation of the messengers at that time is, ""O Lord, grant peace, grant peace."""
8,{وَنَزَعْنَا مَا فِي صُدُورِهِم} تقدم شرحه في الاعراف وانتصب إخواناً على الحال وهي حال من الضمير المجرور في صدورهم والحال من المضاف نادرة وقد تأول نصبه على غير الحال من الضمير المجرور.,"""And We removed what was in their breasts"""
9,والطائعين من الجنة ذكر العرب بأحوال من يعرفونه ممن عصى وكذب الرسل فحل به عذاب الدنيا قبل عذاب الآخرة ليزدجروا عن كفرهم وليعتبروا بما حل بغيرهم فبدأ بذكر جدّهم الأعلى إبراهيم صلى الله عليه وسلم وما جرى بقوم ابن أخيه لوط عليه السلام ثم بذكر أصحاب الحجر وهم قوم صالح، ثم بأصحاب الأيكة وهم قوم شعيب، وضيف إبراهيم هم الملائكة الذين بشروه بالولد وبهلاك قوم لوط وتقدّم الكلام عليه في سورة هود ونبئهم عدي نبئهم بحرف الجر وهو عن ولم يذكر لها مفعولاً ولا مفعولين وسلاماً مقتطع من جملة محكية بقالوا فليس منصوباً به والتقدير سلمت سلاماً من السلامة أو سلمنا سلاما من التحية وقيل سلاماً نعت لمصدر محذوف تقديره فقالوا قولاً سلاماً وتصريحه هنا بأنه وجل منهم كان بعد تقريبه إليهم ما أضافهم به وهو العجل الحنيذ وامتناعهم من الأكل وفي هود فأوجس في نفسه خيفة فيمكن أن هذا التصريح كان بعد إيجاس الخيفة ويحتمل أن يكون القول هنا مجازاً بأنه ظهرت عليه مخايل الخوف حتى صار كالمصرح به القائل.,"And the obedient ones from Paradise, the Arabs are reminded of the conditions of those they know who disobeyed and denied the messengers, so the torment of this world befell them before the torment of the Hereafter, so that they may be deterred from their disbelief and may take heed of what befell others. He began by mentioning their highest ancestor, Abraham, peace be upon him, and what happened to the people of his nephew Lot, peace be upon him, then by mentioning the companions of Al-Hijr, who are the people of Salih, then by mentioning the companions of Al-Aikah, who are the people of Shu'ayb. The guests of Abraham were the angels who gave him the good news of a child and the destruction of the people of Lot. This has been mentioned earlier in the chapter of Hud. And they were informed with the preposition ""about"" and not with two objects. And ""peace"" is cut off from a quoted sentence with ""they said,"" so it is not in the accusative case because of it. The estimation is, ""I send peace, a peace of safety,"" or ""We send peace, a peace of greeting."" And it has been said, ""peace"" is an attribute of a deleted source, its estimation being, ""they said a saying, peace."" And his explicit statement here that he was afraid of them was after he offered them what he had added to them, which was the roasted calf, and their refusal to eat. And in Hud, ""he felt fear in himself,"" so it is possible that this explicit statement was after feeling fear. And it is possible that the saying here is a metaphor that the signs of fear appeared on him until he became like the one who explicitly said it."
