,original_sentence,translation
0,وإذا كان كذلك {فإنما هي} أي البعثة أو هو مبهم يوضحه خبره {زجرة} واحدة يعني صيحة النفخة الثانية {فإذا هم ينظرون} أراد أنهم أحياء بصراء أو أراد أنهم ينظرون أمر الله فيهم.,"And if it is so {it is only} that is, the mission or it is ambiguous, its news clarifies it {a single shout} meaning the sound of the second blast {then behold, they are looking} he meant that they are alive and seeing or he meant that they are looking at God's decree regarding them."
1,{فَإِنَّمَا هِيَ} يعني: النفخة والقيامة {زَجْرَةٌ}: صيحة {وَاحِدَةٌ فَإِذَا هُمْ يَنظُرُونَ} أحياء.,"""For it is but a single shout, then behold, they will be looking [alive]."""
2,قوله: {فَإِنَّمَا هِيَ زَجْرَةٌ وَاحِدَةٌ} أي: النفخة الآخرة {فَإِذَا هُمْ يَنظُرُونَ} أي: قد خرجوا من قبورهم ينظرون.,"His saying: {It is but a single shout} means: the last blast {and behold, they will be looking} means: they will have come out of their graves, looking."
3,قوله: {فَإِنَّمَا هِيَ زَجْرَةٌ} إلخ، هذه الجملة جواب شرط مقدر، أو تعليل لنهي مقدر تقديره إذا كان الأمر كذلك فإنما هي إلخ، أو لا تستصعبوه فإنما هي إلخ.,"His saying: {It is but a single cry}, etc., this sentence is a response to an implied condition, or an explanation for an implied prohibition, its meaning being: If it is so, then it is but a single cry, etc., or: Do not find it difficult, for it is but a single cry, etc."
4,قوله: (أي صيحة) {وَاحِدَةٌ} أي وهي النفخة الثانية.,"His saying: (any cry) {one} that is, the second blast."
5,{فإنما هي} يعني: القيامة {زجرة} صيحةٌ {واحدة فإذا هم} أحياءٌ {ينظرون} سوء أعمالهم.,"""For it is only a single shout, then behold, they are alive, looking at the evil of their deeds."""
6,ثم قال (تعالى): {فَإِنَّمَا هِيَ زَجْرَةٌ وَاحِدَةٌ} أي: صيحة واحدة، وذلك هو النفخ في الصور.,"Then He (the Exalted) said: {It is but a single shout} meaning: a single cry, and that is the blowing of the trumpet."
7,قوله تعالى {قل نعم وأنتم داخرون فإنما هي زجرة واحدة فإذا هم ينظرون} أمر تعالى نبيه صلى الله عليه وآله وسلم أن يجيبهم بأنهم مبعوثون.,"He said, ""Yes, and you will be humbled. It is only one blast, and then they will look."" Allah commanded His Prophet, peace be upon him and his family, to answer them that they will be resurrected."
8,وقوله {فإنما هي زجرة واحدة} الخ الفاء لإِفادة التعليل والجملة تعليل لقوله {وأنتم داخرون} وفي التعبير بزجرة إشعار باستذلالهم.,"""His saying, 'It is but one shout,' etc. The letter 'fa' is used to indicate the reason, and the sentence is an explanation of His saying, 'And you will be humbled.' The expression 'one shout' indicates their humiliation."""
9,"قوله: \"" فَإِنَّمَا هِيَ \"" قال الزمخشري: \"" فَإنَّما هِيَ \"" جواب شرط مقدر تقديره إذا كان كذلك فما هي إلا زجره واحدة.","His saying: ""For it is only"" Al-Zamakhshari said: ""For it is only"" is the answer to an implied condition, its meaning being: If it is so, then it is only one reprimand."
10,فصل لما بين في الآية المتقدمة ما يدل على إنكار البعث والقيامة وأرْدَفَهُ بما يدل على وقوع القيامة ذكر في هذه الآيات بعض تفاصيل أحوال القيامة فمنها قوله: {فإنما هي زجرة واحدة} أي صيحة واحدة وهي نفخة البعث فإذا هم ينظرون أي إحياء ينظر بعضهم إلى بعض، وقيل: ينتظرون ما يحدث لهم أو ينظرون إلى البعث الذي كذبوا به والزجرة هي الصيحة التي يزجرها كالزجرة بالنَّعَمِ والإبل عند الحثّ، ثُمَّ كثر استعمالها حتى صارت بمعنى الصيحة، قال ابن الخطيب: ولا يبعد أن يقال تلك الصيحة إذا سميت زجرة لأنها تزجر الموتى عن الرقود في القبور وتحثهم على القيام من القبور إلى الحضور في موقف القيامة.,"""After the previous verse indicated the denial of the Resurrection and the Day of Judgment, and followed it with evidence of the occurrence of the Day of Judgment, this verse mentions some details of the conditions of the Day of Judgment. Among them is His saying: {It is only a single shout} meaning a single cry, which is the blast of the Resurrection. Then, behold, they will be looking! meaning they will be resurrected, looking at one another. It has also been said: they will be waiting for what happens to them, or they will be looking at the Resurrection which they denied. The shout is the cry that is shouted, like the shout used to drive cattle and camels when urging them on. Then its usage became widespread until it came to mean a cry. Ibn al-Khatib said: It is not far-fetched to say that this cry, if it is called a shout, is because it drives the dead away from lying in the graves and urges them to rise from the graves to appear at the gathering place of the Day of Judgment."""
11,"{فَإِنَّمَا هِىَ}, أي قصة البعث أو القيامة، {زَجْرَةٌ}، أي: صيحة، {وَٰحِدَةٌ}، يعني نفخة البعث، {فَإِذَا هُمْ يَنظُرُونَ}، أحياءً.","""For it is only a single shout, that is, a blast, meaning the blast of resurrection, then behold, they will be looking, alive."""
12,{فَإِنَّمَا هِيَ زَجْرَةٌ وٰحِدَةٌ} جواب شرط مقدر أي إذا كان ذلك فإنما البعثة {زَجْرَةٌ} أي صيحة واحدة، وهي النفخة الثانية من زجر الراعي غنمه إذا صاح عليها وأمرها في الإِعادة كأمر {كُنْ} في الإِبداء ولذلك رتب عليها.,"""For it is but a single shout."""
13,وهذا زيادة في استبعاد الأمر، يعنون أنهم أقدم، فبعثُهم أبعدُ وأبطل {قُلْ نَعَمْ وَأَنتُمْ دَاخِرُونَ} أي قل لهم نعم تُبعثون وأنتم صاغرون {فَإِنَّمَا هِيَ زَجْرَةٌ وَاحِدَةٌ} أي وما هي إلا صيحة واحدة ينفخ فيها إسرافيل في الصور للقيام من القبور {فَإِذَا هُمْ يَنظُرُونَ} أي فإِذا هم قيامٌ في أرض المحشر ينظر بعضهم إلى بعض قال القرطبي: الزجرةُ: الصيحةُ وهي النفخةُ الثانية، وسميت زجرة لأن مقصودها الزجر، كزجر الإِبل، والخيل عند السَّوق..,"This is an increase in the exclusion of the matter, meaning that they are older, so their sending is further and more invalid. Say, ""Yes, and you will be humiliated."" That is, say to them, ""Yes, you will be resurrected and you will be humiliated."" ""For it is but a single shout."" That is, it is but a single cry in which Israfil blows into the trumpet for the resurrection from the graves. ""Then behold, they will be looking."" That is, then behold, they will be standing in the land of the gathering, looking at one another. Al-Qurtubi said: The shout is the cry, and it is the second blowing. It is called a shout because its purpose is to drive, like driving camels and horses when driving them."
14,زجرة واحدة: صيحة واحدة.,One shout: one cry.
15,وقوله: {فَإِنَّمَا هِيَ زَجْرَةٌ وَاحِدَةٌ}.,"""For it is but a single shout."""
16,يحتمل قدر زجرة واحدة، يخبر عن سرعة قيامها ومرورها.,"It is likely to endure a single shout, indicating its swift occurrence and passage."
17,ويحتمل على حقيقة الزجرة، لكن يخبر عن خفة ذلك وهوانه عليه؛ كقوله: {كُنْ فَيَكُونُ} [البقرة: 117] من غير أن كان منه كاف ونون أو شيء من ذلك، لكنه أخفّ كلام على الألسن يؤدى به المعنى، ويفهم به المراد من ذلك؛ فعلى ذلك جائز أن يكون قوله: {زَجْرَةٌ وَاحِدَةٌ} إخباراً عن خفة ذلك عليه وهوانه، من غير أن جعل الزجرة سبب الإحياء أو سبباً من ذلك، والله أعلم.,"And it is possible that it refers to the reality of the shout, but it informs about the lightness and ease of that for Him; like His saying: {Be, and it is} [Al-Baqarah: 117] without there being from Him a كاف (kaf) and نون (nun) or anything of that, but it is the lightest speech on the tongues that conveys the meaning and understands the intended purpose from that; so it is permissible that His saying: {a single shout} is an information about the lightness and ease of that for Him, without making the shout a cause of revival or a cause of that, and Allah knows best."
18,{(19) فَإِنَّمّا هِىَ زَجْرَةٌ وَاحِدَةٌ} فانّما البعثة صيحة واحدة هي النفخة الثانية من زجر الرّاعي غنمه اذا صاح عليها {فَإِذَا هُمْ يَنْظُرُونَ} فاذا هم قيام من مراقدهم احياء بيصرون او ينتظرون ما يفعل بهم.,"{(19) For it is only a single shout} The mission is a single cry, which is the second blast, like the shepherd's shout to his sheep when he calls them. {Then, behold, they will be looking} Then, behold, they will be standing from their graves, alive, seeing or waiting for what will be done to them."
19,وإِنما سمي إِجراء الروح فيه نفخاً، لأنها جرت في بدنه على مثل جري الريح فيه.,And it is only called the blowing of the spirit into it because it flowed into his body like the flow of the wind into it.
