,original_sentence,translation
0,التفسير: إنه سبحانه بدأ في أوّل هذه السورة بالتوحيد كما ختم السورة المتقدمة بذكر المعاد وأقسم على المطلوب بثلاثة أشياء، أما الحكمة في القسم فكما مرّ في أول سورة يس، وأما الإقسام بغير الله وصفاته فلا نسلم أنه لا يجوز لله سبحانه، أو هو على عادة العرب، أو المراد تعظيم هذه الأشياء وتشريفها، أو المراد رب هذه الأشياء فحذف المضاف.,"The Explanation: He, the Exalted, began this chapter with monotheism, just as He concluded the previous chapter with the mention of the Hereafter. He swore by three things for the desired purpose. As for the wisdom behind the oath, it is as mentioned at the beginning of Surah Ya-Sin. As for swearing by other than Allah and His attributes, we do not concede that it is not permissible for Allah, the Exalted, or it is in the custom of the Arabs, or the intention is to honor and exalt these things, or the intention is the Lord of these things, and the added word is omitted."
1,وقال آخرون: أراد زجرهم الناس عن المعاصي بالخواطر والإلهامات، أو بدفع تعرض الشياطين عن بني آدم.,"And others said: He wanted to deter people from sins through thoughts and inspirations, or by warding off the exposure of the devils to the children of Adam."
2,يحكى عن علي بن أبي طالب رضي الله عنه أنه كان يخرج من الصف وسيفه ينطف دماً فإذا رقى ربوة يأتي بالخطبة الغراء.,"It is narrated that Ali ibn Abi Talib, may God be pleased with him, would leave the row and his sword would be dripping with blood. Then, when he ascended a hill, he would deliver the eloquent sermon."
3,وحين بين الوحدانية ودلائلها في أول هذه السورة أراد أن يذكر ما يدل على الحشر والكلام فيه من طريقين: الأوّل أن يقال: قدر على الأصعب فيقدر على الأسهل بالأولى، الثاني قدر في أول الأمر فيقدر في الحالة الثانية.,"And when He explained the oneness and its proofs at the beginning of this surah, He wanted to mention what indicates the resurrection and discuss it in two ways: the first is to say: He is capable of the more difficult, so He is even more capable of the easier; the second is that He was capable at the beginning, so He is capable in the second state."
4,سلمنا لكن هذه الألفاظ في حقه تعالى محمولة على النهايات كالمكر والاستهزاء والمعنى: بلغ من عظم آياتي وكثرة خلائقي أني استعظمتها فكيف بعبادي وهؤلاء بجهلهم وعنادهم يسخرون منها، أو استعظمت إنكارهم البعث ممن هذه أفعاله وهم يسخرون ممن يصف الله تعالى بالقدرة عليه نظيره الآية {وإن تعجب فعجب قولهم} [الرعد: 5].,"We attribute these expressions to Him, the Exalted, in the sense of ultimate consequences, such as deception and mockery. The meaning is: ""I have reached such a degree of greatness in my signs and multitude of my creations that I have deemed them great, so how much more so should my servants? And these, in their ignorance and obstinacy, mock them, or I have deemed their denial of the Resurrection great, while they mock those who attribute to God, the Exalted, the ability to do it. Its parallel is the verse: 'And if you are amazed, then amazing is their saying' [13:5]."""
5,قرأ أهل الكوفة {يَسَّمَّعُونَ} بالتشديد، أي يتسمعون، قال مجاهد: كانوا يتسمعون ولكن لا يسمعون، وهو اختيار أبي عبيد، وقرأ الآخرون بالتخفيف، وهو اختيار أبي حاتم، {إِلَىٰ ٱلْمَلإِ ٱلأَعْلَىٰ} يعني الكتبة من الملائكة في السماء {وَيُقْذَفُونَ}، ويرمون {مِن كُلِّ جَانِبٍ} من آفاق السماء.,"The people of Kufa read {يَسَّمَّعُونَ} with emphasis, meaning they listen intently. Mujahid said: They would listen intently but not hear. This is the choice of Abu Ubayd. Others read it lightly, which is the choice of Abu Hatim. {إِلَىٰ ٱلْمَلإِ ٱلأَعْلَىٰ} means the scribes of the angels in the sky. {وَيُقْذَفُونَ} and they are thrown {مِن كُلِّ جَانِبٍ} from all directions of the sky."
6,{إِلاَّ مَنْ خَطِفَ ٱلْخَطْفَةَ}: مسارق فسمع الكلمة، {فَأَتْبَعَهُ شِهَابٌ ثَاقِبٌ}: تبعه ولحقه كوكب مضيء قوي لا يخطئه يقتل أو يحرق أو يحيل، وإنما يعودون إلى استراق السمع مع علمهم بأنهم لا يصلون إليه؛ طمعاً في السلامة ونيل المراد كراكب البحر.,"""Except for one who snatches a [brief] hearing, and a piercing star pursues him."""
7,الثالث: عن ولاية علي بن أبي طالب رضي الله عنه، حكاه أبو هارون العبدي عن أبي سعيد الخدري.,"Third: About the authority of Ali ibn Abi Talib, may Allah be pleased with him, narrated by Abu Harun Al-Abdiy from Abu Saeed Al-Khudri."
8,أقول ورواه الشيخ في الأمالي بإسناده إلى أنس بن مالك عن النبي صلى الله عليه وآله وسلم، وفي العيون عن علي وعن الرضا عليه السلام عنه صلى الله عليه وآله وسلم، وفي تفسير القمي عن الإِمام عليه السلام.,"I say, and the Sheikh narrated it in Al-Amali with his chain of narration to Anas bin Malik from the Prophet, peace be upon him and his family, and in Al-Uyun from Ali and from Al-Ridha, peace be upon him, from him, peace be upon him and his family, and in Tafsir Al-Qumi from the Imam, peace be upon him."
9,و «من» في {إِلاَّ مَنْ} في محل الرفع بدل من الواو في {لا يسمعون} أي لا يسمع الشياطين إلا الشيطان الذي {خَطِفَ ٱلْخَطْفَةَ} أي سلب السلبة يعني أخذ شيئاً من كلامهم بسرعة {فَأَتْبَعَهُ} لحقه {شِهَابٌ} أي نجم رجم {ثَاقِبٌ} مضيء.,"And ""from"" in {except from} is in the nominative case as a substitute for the waw in {they do not hear}, meaning the demons do not hear except the demon who {snatches the snatch}, i.e., takes something from their speech quickly. Then {a meteor} follows him, i.e., a star that is thrown {piercing}, i.e., bright."
