,original_sentence,translation
0,قتادة والكلبي: كل من عمل مثل عملهم، فأهل الخمر مع أهل الخمر، وأهل الزنا مع أهل الزنا، وقال الحسن: وأزواجهم المشركات.,"Qatada and Al-Kalbi: Everyone who does what they do, so the people of wine are with the people of wine, and the people of fornication are with the people of fornication. Al-Hasan said: And their polytheistic spouses."
1,وروي عن عمر قال: يُحْشَر صاحبُ الرِّبا مع صاحب الرِّبا، وصاحبُ الزِّنا مع صاحب الزِّنا وصاحب الخمر مع صاحب الخمر.,"It is narrated from Umar that he said: ""The one who deals in usury will be gathered with the one who deals in usury, the one who commits adultery will be gathered with the one who commits adultery, and the one who drinks alcohol will be gathered with the one who drinks alcohol."""
2,وفي {وأزواجهم} أربعة أوجه: أحدها: أشباههم فيحشر صاحب الزنى مع صاحب الزنى، وصاحب الخمر مع صاحب الخمر، قاله عمر بن الخطاب رضي الله عنه.,"""And for {their spouses}, there are four interpretations: One of them is their likenesses, so the adulterer will be gathered with the adulterer, and the drinker of wine with the drinker of wine,"" said Umar ibn al-Khattab, may Allah be pleased with him."
3,وقال عمر بن الخطاب رضي الله عنه: الزاني مع الزاني، وشرب الخمر مع شارب الخمر، وصاحب السرقة مع صاحب السرقة.,"Omar ibn al-Khattab (may Allah be pleased with him) said: ""The adulterer is with the adulterer, the drinker of wine is with the drinker of wine, and the companion of theft is with the companion of theft."""
4,وأنواعهم وضرباؤهم، قاله عمرو ابن عباس أيضاً، أو أشباههم من العصاة، وأهل الزنا مع أهل الزنا، وأهل السرقة، أو قرناؤهم الشياطين.,"""And their kinds and their companions, as said by Amr ibn Abbas as well, or their likes among the disobedient, and the people of fornication with the people of fornication, and the people of theft, or their companions, the devils."""
5,ذكر من قال ذلك: حدثنا ابن بشار، قال: ثنا عبد الرحمن، قال: ثنا سفـيان، عن سماك بن حرب، عن النعمان بن بشير عن عمر بن الـخطاب {احْشُرُوا الَّذِينَ ظَلَـمُوا وأزْوَاجَهُمْ} قال: ضُرَبـاءهم.,"""Those who said that: Ibn Bashar narrated to us, he said: Abdur Rahman narrated to us, he said: Sufyan narrated to us, from Samak bin Harb, from An-Nu'man bin Bashir, from Umar bin Al-Khattab, 'Gather those who did wrong and their companions,' he said: 'Their peers.'"""
6,حدثنـي علـيّ، قال: ثنا أبو صالـح، قال: ثنـي معاوية، عن علـيّ، عن ابن عبـاس {احْشُرُوا الَّذِينَ ظَلَـمُوا وأزْوَاجَهُمْ} يقول: نظراءهم.,"He narrated to me, Ali, he said: Abu Salih narrated to me, he said: Muawiyah narrated to me, from Ali, from Ibn Abbas, {Gather those who did wrong and their companions} he said: their equals."
7,حدثنـي مـحمد بن سعد، قال: ثنـي أبـي، قال: ثنـي عمي، قال: ثنـي أبـي، عن أبـيه، عن ابن عبـاس قوله: {احْشَرُوا الَّذِينَ ظَلَـمُوا وأزْوَاجَهُمْ} يعنـي: أتبـاعهم، ومن أشبههم من الظلـمة.,"He narrated to me, Muhammad ibn Sa'd, he said: My father narrated to me, he said: My uncle narrated to me, he said: My father narrated to me, from his father, from Ibn Abbas, his saying: ""{Gather those who did wrong and their companions}"" means: their followers, and those who are similar to them among the wrongdoers."
8,حدثنا بشر، قال: ثنا يزيد، قال: ثنا سعيد، عن قتادة، قوله: {احْشُرُوا الَّذِينَ ظَلَـمُوا وأزْوَاجَهُمْ}: أي وأشياعهم الكفـار مع الكفـار.,"Narrated by Bushair, he said: Yazid narrated to us, he said: Saeed narrated to us, from Qatadah, his saying: {Gather those who did wrong and their companions}: meaning, and their disbelieving allies with the disbelievers."
9,حدثنـي مـحمد بن الـحسين، قال: ثنا أحمد بن الـمفضل، قال: ثنا أسبـاط، عن السدّيِّ، فـي قوله: {احْشُرُوا الَّذِينَ ظَلَـمُوا وأزْوَاجَهُمْ} قال: وأشبـاههم.,"He narrated to me, Muhammad ibn al-Husayn, he said: Ahmad ibn al-Mufaddal narrated to us, he said: Asbat narrated to us, from al-Suddi, regarding His saying: {Gather those who did wrong and their companions}, he said: And their likes."
10,حدثنـي يونس، قال: أخبرنا ابن وهب، قال: قال ابن زيد، فـي قوله: {احْشُرُوا الَّذِينَ ظَلَـمُوا وأزْوَاجَهُمْ} قال: أزواجهم فـي الأعمال، وقرأ: {وكُنْتُـمْ أزْوَاجاً ثَلاثَةً فَأصحَابُ الـمَيْـمَنَةِ ما أصحَابُ الـمَيْـمَنَةِ وأصحَابُ الـمَشأَمَةِ ما أصحَابُ الـمَشْأمةِ وَالسَّابِقُونَ السَّابِقُونَ} فـالسابقون زوج وأصحاب الـميـمنة زوج، وأصحاب الشمال زوج، قال: كلّ من كان من هذا حشره الله معه.,"Yunus told me, he said: Ibn Wahb informed us, he said: Ibn Zaid said, regarding His saying: {Gather those who did wrong and their companions}, he said: their companions in deeds, and he recited: {And you will be divided into three categories: the companions of the right, what are the companions of the right? And the companions of the left, what are the companions of the left? And the foremost, the foremost}. So the foremost are a group, and the companions of the right are a group, and the companions of the left are a group, he said: whoever is from this, Allah will gather him with them."
