,original_sentence,translation
0,{هَذَا يَوْمُ الفَصْلِ الَّذِي كُنتُم بِهِ تُكَذِّبُونَ} أي: يوم القضاء، يقضي فيه بين المؤمنين والمشركين، فيدخل المؤمنين الجنة، ويدخل الكافرين النار.,"This is the Day of Judgment, which you used to deny. That is, the day of reckoning, in which He will judge between the believers and the polytheists, so He will admit the believers to Paradise and admit the disbelievers to the Fire."
1,{هَـٰذَا يَوْمُ ٱلْفَصْلِ} يوم القضاء {ٱلَّذِي كُنتُمْ بِهِ تُكَذِّبُونَ} [آية: 21] بأنه كائن.,"This is the Day of Judgment, the Day you used to deny."
2,{هذا يوم الفصل} الآية.,This is the Day of Judgment.
3,فيه وجهان: أحدهما: يوم القضاء بين الخلائق، قاله يحيى.,"There are two interpretations: one of them: the Day of Judgment between the creatures, said Yahya."
4,{هذا يوم الفصل} بين الحقِّ والباطل.,This is the Day of Judgment between truth and falsehood.
5,وقوله {هذا يوم الفصل الذي كنتم به تكذبون} قيل هو كلام بعضهم لبعض وقيل كلام الملائكة أو كلامه تعالى لهم، ويؤيده الآية التالية، والفصل هو التمييز بين الشيئين وسمي يوم الفصل لكونه يوم التمييز بين الحق والباطل بقضائه وحكمه تعالى أو التمييز بين المجرمين والمتقين قال تعالى {وامتازوا اليوم أيها المجرمون} يس 59.,"""And His saying, 'This is the Day of Judgment which you used to deny,' it was said that it is the speech of some of them to each other, and it was said that it is the speech of the angels or His speech, may He be exalted, to them, and the following verse supports it. And the Day of Judgment is the distinction between two things, and it was named the Day of Judgment because it is the day of distinction between truth and falsehood by His judgment and ruling, may He be exalted, or the distinction between the criminals and the righteous. Allah, may He be exalted, said, 'And be separated today, O you criminals.' [Yasin 59]"""
6,21 - فيجابون: هذا يوم القضاء والفصل فى الأعمال الذى كنتم به فى الدنيا تكذبون.,"21 - They will be told: ""This is the Day of Judgment and separation of deeds, which you used to deny in the world."""
7,{هَـٰذَا يَوْمُ ٱلْفَصْلِ}، يوم القضاء، وقيل: يوم الفصل بين المحسن والمسيء، {ٱلَّذِى كُنتُمْ بِهِ تُكَذِّبُونَ}.,"""This is the Day of Judgment,"" the day of reckoning, and it has been said: the day of separation between the good and the evil, ""which you used to deny."""
8,يوم الفصل: يوم الحساب بين الناس.,The Day of Judgment: The Day of reckoning among people.
9,وقوله: {هَـٰذَا يَوْمُ ٱلْفَصْلِ ٱلَّذِي كُنتُمْ بِهِ تُكَذِّبُونَ}.,"""His saying: 'This is the Day of Judgment, which you used to deny.'"""
10,قوله: {هَـٰذَا يَوْمُ ٱلْفَصْلِ} أي: يوم القضاء والحكم؛ كقوله - عز وجل - : {إِنَّ رَبَّكَ هُوَ يَفْصِلُ بَيْنَهُمْ يَوْمَ ٱلْقَيَامَةِ} [السجدة: 25] أي: يقضي بينهم {فِيمَا كَانُواْ فِيهِ يَخْتَلِفُونَ} [السجدة: 25]، والله أعلم.,"His saying: {This is the Day of Judgment} means the day of decision and ruling; as His saying - may He be exalted - : {Indeed, your Lord will judge between them on the Day of Resurrection} [Al-Sajda: 25] means He will judge between them {in what they used to differ} [Al-Sajda: 25], and Allah knows best."
11,ويحتمل قوله: {هَـٰذَا يَوْمُ ٱلْفَصْلِ} أي: يفصل ويفرق بينهم، أي: بين الكفار وأهل الإيمان، وبين الخبيث والطيب؛ كقوله - تعالى - : {لِيَمِيزَ ٱللَّهُ ٱلْخَبِيثَ مِنَ ٱلطَّيِّبِ وَيَجْعَلَ ٱلْخَبِيثَ بَعْضَهُ عَلَىٰ بَعْضٍ فَيَرْكُمَهُ جَمِيعاً …} الآية [الأنفال: 37]، وقوله: {وَٱمْتَازُواْ ٱلْيَوْمَ أَيُّهَا ٱلْمُجْرِمُونَ} [يس: 59]، وقوله: {فَرِيقٌ فِي ٱلْجَنَّةِ وَفَرِيقٌ فِي ٱلسَّعِيرِ} [الشورى: 7]، والله أعلم.,"And it is possible that His saying: {This is the Day of Judgment} means: He will separate and distinguish between them, that is, between the disbelievers and the people of faith, and between the evil and the good; as His saying - the Most High - : {So that Allah may separate the evil from the good and place the evil, some of it upon some of it, and heap it all together…} the verse [Al-Anfal: 37], and His saying: {And be separated today, O you criminals} [Yaseen: 59], and His saying: {A group in Paradise and a group in the Blaze} [Ash-Shura: 7], and Allah knows best."
12,{(21) هذا يَوْمُ الْفَصْلِ الَّذِى كُنْتُمْ بِهِ تُكَذِّبُونَ} جواب الملائكة او قول بعضهم لبعض والفصل والقضاء والفرق بين المحسن والمسيء.,"This is the Day of Judgment, which you used to deny. The angels' response or some of them speaking to each other, and the judgment, the verdict, and the distinction between the good and the evil."
