,original_sentence,translation
0,كان رسول الله يحب التيامن في كل شيء ولهذا أمرت الشريعة بمباشرة أفاضل الأمور باليمين وأراطلها بالشمال، وجعلت اليمين لكاتب الحسنات والشمال لكاتب السيآت، ووعد المحسن أن يؤتى كتابه بيمينه والمسيء بالضد، وما جعلت يمنى إلا للتيمن بها ولذلك تيمنوا بالسانح وتطيروا بالبارح.,"The Messenger of Allah loved to begin with the right in everything, and for this reason, the Shariah commanded that the best of things be done with the right hand and the worst with the left. The right hand was made for the writer of good deeds and the left for the writer of bad deeds. The doer of good was promised that his book would be given to him in his right hand, and the doer of evil the opposite. The right hand was not made except for good fortune, and that is why they considered the right side auspicious and the left side inauspicious."
1,فقيل: أتاه عن اليمين أي من قبل الخير وناحيته فصدّه عنه وأضله.,"It was said: ""He came to him from the right, that is, from the side of good, and turned him away from it and misled him."""
2,"ثم صار قولك \"" أتاه عن اليمين \"" مجازاً في المعنى المذكور.","Then your saying ""he came from the right"" became a metaphor in the mentioned meaning."
3,واليمين: القوة والقدرة في كلام العرب.,The right: strength and ability in the speech of the Arabs.
4,فمن أتاه الشيطان (من) عن يمينه أتاه من قبل الذين فيلبس عليه الحق، ومن أتاه (من) عن شماله أتاه من جهة الشهوات، ومن أتاه من بين يديه أتاه من جهة التكذيب بالجزاء والبعث، ومن أتاه من خلفه أتاه من جهة الفقر على نفسه وعلى من يخلفه بعده.,"So whoever comes to him from his right, comes to him from the side of those who confuse the truth, and whoever comes to him from his left, comes to him from the side of desires, and whoever comes to him from before him, comes to him from the side of denying the recompense and the resurrection, and whoever comes to him from behind him, comes to him from the side of poverty for himself and for those who come after him."
5,وعن اليمين: من قبل الدين أيضاً.,And on the right: also from the religion.
6,"وقال قتادة أيضاً: \"" عن اليمين \"": من قبل الخير فتنهوننا عنه.","And Qatadah also said: ""As for the oath"": from before the good, you forbid us from it."
7,"وقال السدي: \"" عن اليمين \"": من قبل الدين، به يزينون لنا بالباطل ويصدوننا عن الحق.","He said, ""As for the oath"": from the religion, with it they adorn for us falsehood and turn us away from the truth."
8,والعرب تتفاءل / بما جاء عن اليمين وتسميه السانح.,The Arabs are optimistic / about what comes from the right and call it the Sanih.
9,و {اليمين}: الجارحة، وليست مرادة هنا.,"and {the right hand}: the limb, and it is not intended here."
10,وأما استعارتها لجهة الشهوات، فلأن جهة اليمين هي الجهة الثقيلة من الإنسان وفيها كبده، وجهة شماله فيها قلبه ومكره، وهي أخف، والمنهزم يرجع على شقه الأيسر، إذ هو أخف شقيه.,"As for its metaphorical use in the context of desires, it is because the right side is the heavier side of a person, and it contains his liver, while his left side contains his heart and his deceit, and it is lighter. The defeated person retreats to his left side, as it is the lighter of his two sides."
11,وقيل المعنى تأتوننا عن اليمين التي نحبها، ونتفاءل بها، لتغرّونا بذلك عن جهة النصح، والعرب تتفاءل بما جاء عن اليمين، وتسميه السانح.,"It was said that the meaning is that you come to us from the right side, which we love and are optimistic about, to deceive us from the side of advice. The Arabs are optimistic about what comes from the right side and call it the sanih."
