,original_sentence,translation
0,قوله: {فَاهْدُوهُمْ إِلَى صِرَاطِ الجَحِيمِ} أي: إلى طريق الجحيم.,His saying: {Guide them to the path of Hellfire} means: to the path of Hellfire.
1,قوله تعالى: {فاهدوهم إلى صراط الجحيم} أي: دُلُّوهم على طريقها؛ والمعنى: اذهبوا بهم إِليها.,"""His saying, the Exalted: {Guide them to the path of Hellfire} means: show them its way; and the meaning is: take them to it."""
2,{فاهدُوهم إلى صراط الجحيم} أي طريق النار.,"""Guide them to the path of Hellfire."""
3,وفي قوله تعالى: {فاهدوهم} ثلاثة أوجه: أحدها: فدلوهم، قاله ابن.,"""In His saying, the Exalted: {So guide them}, there are three interpretations: one of them is: So point them out, said Ibn."""
4,{فاهدوهم} دلُّوهم إلى النار.,Guide them to the Fire.
5,ثم قال (تعالى): {فَٱهْدُوهُمْ إِلَىٰ صِرَاطِ ٱلْجَحِيمِ} أي: فأرشدوهم ودلوهم إلى طريق جهنم.,"Then He (the Most High) said: {Guide them to the path of Hellfire} that is, guide them and show them the way to Hell."
6,قَوْلُهُ تَعَالَى: {فَٱهْدُوهُمْ إِلَىٰ صِرَاطِ ٱلْجَحِيمِ}؛ أي سُوقُوهم واذهَبُوا بهم إلى فريقِ الجحيم.,"His saying, the Most High: {So lead them to the path of Hellfire}; that is, drive them and take them to the company of Hellfire."
7,{فاهدوهم}: أي عرفوهم وقودوهم إلى طريق النار حتى يصطلوها، والجحيم طبقة من طبقات جهنم.,"""Guide them"": that is, make them know and lead them to the path of the Fire until they burn in it, and the Blazing Fire is a layer of the layers of Hell."
8,{فَٱهْدُوهُمْ إِلَىٰ صِرٰطِ ٱلْجَحِيمِ} فعرفوهم طريقها وأروهم إياه، والمراد بالجحيم النار ويطلق على طبقة من طبقاتها وهو من الجحمة شدة تأجج النار، والتعبير بالصراط والهداية للتهكم بهم.,"""Then guide them to the path of Hellfire. So, make them recognize its path and show it to them. Hellfire refers to the fire, and it is also used to refer to one of its layers. It comes from the intensity of the fire's blazing. The expression 'path' and 'guidance' is used sarcastically."""
9,وقوله {فاهدوهم إلى صراط الجحيم} الجحيم من أسماء جهنم في القرآن وهو من الجحمة بمعنى شدة تأجج النار على ما ذكره الراغب.,"And His saying, ""Then lead them to the path of Hellfire."" Hellfire is one of the names of Hell in the Quran, and it is derived from the word ""jahim,"" meaning the intense burning of fire, as mentioned by Al-Raghib."
10,وقوله {فاطلع فرآه في سواء الجحيم} السواء الوسط ومنه سواء الطريق أي وسطه والمعنى فأشرف القائل المذكور على النار فرآه أي قرينه في وسط الجحيم.,"""And His saying, 'Then he looked and saw him in the midst of Hellfire.' The word 'sawa' means the middle, and from it is 'sawa al-tariq' meaning the middle of the road. The meaning is that the speaker mentioned looked into the Fire and saw his companion in the midst of Hell."""
11,وأخرج ابن جرير وابن المنذر وابن أبي حاتم عن ابن عباس رضي الله عنهما في قوله {فاهدوهم إلى صراط الجحيم} قال: سوقوهم.,"""And Ibn Jarir, Ibn Al-Mundhir, and Ibn Abi Hatim narrated from Ibn Abbas, may Allah be pleased with him, regarding His saying: {Guide them to the path of Hell}, he said: Drive them."""
