,regions,law_schools,theology_schools,exegetical_interests,periods,date,author_name,author_id,tafsir_name,tafsir_id
0,"Andalus, al-; Greater Syria",Zaydi,"Sunni, undefined",,Andalusian,1240,Muhyī ad-Dīn ibn ʿArabī,29,Tafsīr al-Qurʾān al-karīm,33
1,Greater Syria,Sunni,"Sunni, undefined",,Mamluk,1480,Burḥān ad-Dīn Abū al-Ḥasan Ibrāhīm ibn ʿUmar al-Biqāʿī,13,Naẓm ad-durar fī tanāsub al-ayāt wa-s-suwar,25
2,Egypt; Greater Syria,Sunni,"Sunni, undefined",,"early, post-Buyid; post-Mongolian",1355,Šihāb ad-Dīn Aḥmad ibn Yūsuf ibn ʿAbd ad-Dāʾim al-Ḥalabī as-Samīn,60,ad-Durr al-maṣūn fī ʿulūm al-kitāb al-maknūn,79
3,Morocco,Sunni,"Ashʿariyya; Shiʿa, undefined",,pre-Mongolian,1210,Rūzbihān al-Baqlī aš-Šīrāzī,11,ʿArāʾis al-bayān fī ḥaqāʾiq al-Qurʾān,4
4,Iran (West),Hanafi,Maturidiyya,,post-Mongolian,1311,Ḥāfiẓ ad-Dīn Abū l-Barakāt ʿAbdallāh ibn Aḥmad an-Nasafī,45,Madārik at-tanzīl wa-ḥaqāʾiq at-taʾwīl,17
5,Iran (East),Sunni,Tasawwuf,,post-Mongolian,1328,Nizām ad-Dīn al-Ḥasan ibn Muḥammad an-Nīsābūrī,47,Ġarāʾib al-Qurʾān wa-raġāʾib al-furqān,22
6,Anatolia,Sunni,Maturidiyya,,Ottoman,1574,Abū 's-Suʿūd Muḥammad ibn Muḥammad al-ʿImādī,1,Iršād al-ʿaql as-salīm ilā mazāyā al-kitāb al-karīm,28
7,"Andalus, al-; Egypt",Sunni,"Sunni, undefined",,Andalusian,1345,Aṯīr ad-Dīn Abū Ḥayyān Muḥammad ibn Yūsuf ibn ʿAlī ibn Ḥayyān al-Andalūsī,2,al-Baḥr al-muḥīṭ,19
8,Algeria,Ibadi,Ibadi,,colonial,1914,Muḥammad ibn Yūsuf Aṭfayyiš,8,Himyān az-zād ilā dār al-maʿād,49
9,Iraq,Ibadi,Athariyya,,colonial,1854,Abū 'ṯ-Ṯanāʾ Šihāb ad-Dīn Maḥmūd ibn ʿAlī al-Alūsī al-Ḥasanī al-Ḥusaynī al-Baġdādī,4,Rūḥ al-maʿānī: fī tafsīr al-Qurʿān al-ʿaẓīm wa-s-sabʿ al-maṯānī,52
