,regions,law_schools,theology_schools,exegetical_interests,periods,date,author_name,author_id,tafsir_name,tafsir_id,sc_id
0,Algeria,Ibadi,Ibadi,,"early, pre-Buyid",903.0,Hūd ibn Muḥakkam al-Huwwarī,23,Tafsīr kitāb Allāh al-ʿazīz,45,sc.45_1_6_7
1,Iran (West),Jaʿfari,Twelver Shiʿa,,post-colonial,1981.0,Muḥammad Ḥusayn aṭ-Ṭabāṭabāʾī,74,al-Mīzān fī tafsīr al-Qurʾān,56,sc.56_1_6_7
2,Iran (West),Jaʿfari,Tasawwuf,,colonial,1909.0,Sulṭān Muḥammad al-Ǧunābaḏī,18,Tafsīr Bayān as-saʿāda fī maqāmāt al-ʿibāda,42,sc.42_37_118_118
3,Khwarazm,Sunni,Muʿtazila,,pre-Mongolian,1144.0,Maḥmūd ibn ʿUmar az-Zamaḫšarī,81,al-Kaššāf ʿan ḥaqāʾiq ġawāmiḍ at-tanzīl wa-ʿuyūn al-aqāwīl fī wuǧūh at-taʾwīl,2,sc.2_1_6_6
4,Arabian Peninsula,Sunni,"Sunni, undefined",,post-colonial,1973.0,Muḥammad al-Amīn ibn Muḥammad al-Muḫtār ibn ʿAbd al-Qādir al-Ǧakanī aš-Šanqīṭī,61,Aḍwāʾ al-bayān fī īḍāḥ al-Qurʾān bi-l-Qurʾān,54,sc.54_1_6_6
5,Iraq,Sunni,Athariyya,,Abbasid,923.0,Muḥammad ibn Ǧarīr aṭ-Ṭabarī,72,Ǧāmiʿ al-bayān ʿan taʾwīl āy al-Qurʾān,1,sc.1_1_6_6
6,Iran (East),Zaydi,"Sunni, undefined",,pre-Mongolian,1021.0,Muḥammad ibn al-Ḥusayn as-Sulamī,67,Ḥaqāʾiq at-tafsīr,30,sc.30_1_6_6
7,Oman,Ibadi,Ibadi,,post-colonial,,Aḥmad ibn Ḥamad al-Ḫalīlī,19,Ǧawāhir at-tafsīr: Anwār min bayān al-tanzīl,51,sc.51_1_6_6
8,Iran (East),Sunni,Ashʿariyya; Tasawwuf,,pre-Mongolian,1072.0,ʿAbd al-Karīm ibn Hawāzin al-Qušayrī,52,Laṭāʾif al-išārāt bi-tafsīr al-Qurʾān,31,sc.31_1_6_6
9,Iran (West),Jaʿfari,Twelver Shiʿa,,pre-Mongolian,1153.0,al-Faḍl ibn al-Ḥasan aṭ-Ṭabarsī,73,Maǧmaʿ al-bayān fī tafsīr al-Qurʾān,3,sc.3_1_6_6
10,Greater Syria,Sunni,"Sunni, undefined",,post-colonial,2021.0,Muḥammad ʿAlī aṣ-Ṣābūnī,55,Muḫtaṣar tafsīr Ibn Kaṯīr,84,sc.84_1_6_6
11,Tunisia,Sunni,Ashʿariyya,,Andalusian,1401.0,Muḥammad ibn Muḥammad ibn ʿArafa,30,Tafsīr al-imām ʾibn ʿArafa,20,sc.20_1_6_6
12,Iran (West),Sunni,Ashʿariyya,,post-Mongolian,1319.0,ʿAbdallāh ibn ʿUmar al-Bayḍāwī,12,Anwār at-tanzīl wa-asrār at-taʾwīl,6,sc.6_1_6_6
13,Iran (West),Jaʿfari,Twelver Shiʿa,,Safavid,1680.0,Mullā Muḥammad ibn Murtaḍā ibn Maḥmūd al-Kašānī,36,aṣ-Ṣāfī fī tafsīr kalām Allāh al-wāfī,41,sc.41_1_5_6
14,Anatolia,Ibadi,Maturidiyya,,Ottoman,1725.0,Ismāʿīl Ḥaqqī al-Bursawī,35,Rūḥ al-bayān fī tafsīr al-Qurʾān,36,sc.36_1_6_6
15,Algeria,Sunni,"Sunni, undefined",,post-colonial,2018.0,Abū Bakr Ǧābir ibn Mūsā ibn ʿAbd al-Qādir al-Ǧazāʾirī,16,Aysar at-tafāsīr li-kalām al-ʿalī al-kabīr,66,sc.66_1_6_6
16,Morocco,Sunni,Tasawwuf,,18th century,1809.0,Aḥmad ibn Muḥammad ibn ʿAǧība,27,al-Baḥr al-madīd fī tafsīr al-Qurʾān al-maǧīd,37,sc.37_1_6_6
17,Egypt; Greater Syria,Sunni,Ashʿariyya,,"early, post-Buyid; post-Mongolian",1262.0,ʿIzz ad-Dīn Abū Muḥammad ʿAbd al-ʿAzīz ibn ʿAbd as-Salām,24,Tafsīr al-Qurʾān,16,sc.16_1_6_6
18,Iran (West),Jaʿfari,Twelver Shiʿa,,Abbasid,919.0,ʿAlī ibn Ibrāhim al-Qummī,50,Tafsīr al-Qurʾān,38,sc.38_1_6_6
19,Iran (West),Sunni,Tasawwuf,,pre-Mongolian,1210.0,Rūzbihān al-Baqlī aš-Šīrāzī,11,ʿArāʾis al-bayān fī ḥaqāʾiq al-Qurʾān,4,sc.4_1_6_6
20,Iran (East),Shafiʿi,"Sunni, undefined",,"early, post-Buyid; Mamluk",1035.0,Aḥmad ibn Muḥammad Abū Isḥāq aṯ-Ṯaʿlabī,75,al-Kašf wa-l-bayān fī tafsīr al-Qurʾān,75,sc.75_1_6_6
21,Greater Syria,Sunni,"Sunni, undefined",,Mamluk,1476.0,Abū Ḥafṣ ʿUmar ibn ʿAlī ibn ʿĀdil al-Dimašqī Nuʿmānī,26,al-Lubāb fī ʿulūm al-kitāb,24,sc.24_1_6_6
22,Greater Syria,Sunni,Athariyya,,Mamluk,1373.0,Ismāʿīl ibn ʿUmar ibn Kaṯīr,34,Tafsīr al-Qurʾān al-ʿaẓīm,7,sc.7_1_6_6
23,Iran (West),Sunni,Ashʿariyya,,pre-Mongolian,1209.0,Faḫr ad-Dīn ar-Rāzī,54,Mafātīḥ al-ġayb,32,sc.32_1_6_6
24,Greater Syria,Sunni,"Sunni, undefined",,colonial,1914.0,Ǧamāl ad-Dīn Muḥammad al-Qāsimī,48,Maḥāsin at-Taʾwīl,102,sc.102_1_6_6
25,Iran (West),Sunni,"Sunni, undefined",,"early, post-Buyid",971.0,Sulaymān ibn Aḥmad aṭ-Ṭabarānī,71,Tafsīr al-Qurʾān al-karīm,91,sc.91_1_6_6
26,Iran (West),Jaʿfari,Tasawwuf,,colonial,1909.0,Sulṭān Muḥammad al-Ǧunābaḏī,18,Tafsīr Bayān as-saʿāda fī maqāmāt al-ʿibāda,42,sc.42_15_41_41
27,Iraq,Sunni,Athariyya,,Abbasid,923.0,Muḥammad ibn Ǧarīr aṭ-Ṭabarī,72,Ǧāmiʿ al-bayān ʿan taʾwīl āy al-Qurʾān,1,sc.1_15_41_42
28,Greater Syria,Sunni,"Sunni, undefined",,post-colonial,2022.0,Asʿad Maḥmūd Ḥawmad,7,"Aysar at-tafāsīr: tafsīr, asbāb nuzūl, aḥādīṯ, namāḏiǧ iʿrāb",71,sc.71_19_36_36
