,regions,law_schools,theology_schools,exegetical_interests,periods,date,author_name,author_id,tafsir_name,tafsir_id,sc_id
0,"Andalus, al-; Greater Syria",Maliki,"Sunni, undefined",,Andalusian,1240.0,Muhyī ad-Dīn ibn ʿArabī,29,Tafsīr al-Qurʾān al-karīm,33,sc.33_19_41_55
1,Egypt; Greater Syria,Sunni,"Sunni, undefined",,"early, post-Buyid; post-Mongolian",1355.0,Šihāb ad-Dīn Aḥmad ibn Yūsuf ibn ʿAbd ad-Dāʾim al-Ḥalabī as-Samīn,60,ad-Durr al-maṣūn fī ʿulūm al-kitāb al-maknūn,79,sc.79_19_43_43
2,Tunisia,Sunni,Ashʿariyya,,colonial,1973.0,Muḥammad aṭ-Ṭāhir ibn ʿAšūr,31,at-Taḥrīr wa-t-tanwīr,55,sc.55_1_6_7
3,Arabian Peninsula,Sunni,"Sunni, undefined",,post-colonial,1973.0,Muḥammad al-Amīn ibn Muḥammad al-Muḫtār ibn ʿAbd al-Qādir al-Ǧakanī aš-Šanqīṭī,61,Aḍwāʾ al-bayān fī īḍāḥ al-Qurʾān bi-l-Qurʾān,54,sc.54_1_7_7
4,Iraq,Sunni,Athariyya,,Abbasid,923.0,Muḥammad ibn Ǧarīr aṭ-Ṭabarī,72,Ǧāmiʿ al-bayān ʿan taʾwīl āy al-Qurʾān,1,sc.1_1_7_7
5,Jordan ,Sunni,"Sunni, undefined",,post-colonial,1984.0,Ibrāhīm al-Qaṭṭān,49,Taysīr at-tafsīr,68,sc.68_1_1_7
6,Iraq,Sunni,Ashʿariyya,,pre-Mongolian,1200.0,ʿAbd ar-Raḥmān ibn ʿAlī ibn al-Ǧawzī,28,Zād al-masīr fī ʿilm at-tafsīr,15,sc.15_1_7_7
7,Khwarazm,Sunni,Muʿtazila,,pre-Mongolian,1144.0,Maḥmūd ibn ʿUmar az-Zamaḫšarī,81,al-Kaššāf ʿan ḥaqāʾiq ġawāmiḍ at-tanzīl wa-ʿuyūn al-aqāwīl fī wuǧūh at-taʾwīl,2,sc.2_1_7_7
8,Greater Syria,Sunni,"Sunni, undefined",,Mamluk,1480.0,Burḥān ad-Dīn Abū al-Ḥasan Ibrāhīm ibn ʿUmar al-Biqāʿī,13,Naẓm ad-durar fī tanāsub al-ayāt wa-s-suwar,25,sc.25_1_1_7
9,Egypt; Greater Syria,Sunni,"Sunni, undefined",,"early, post-Buyid; post-Mongolian",1355.0,Šihāb ad-Dīn Aḥmad ibn Yūsuf ibn ʿAbd ad-Dāʾim al-Ḥalabī as-Samīn,60,ad-Durr al-maṣūn fī ʿulūm al-kitāb al-maknūn,79,sc.79_1_7_7
10,Iran (West),Jaʿfari,Twelver Shiʿa,,pre-Mongolian,1067.0,Muḥammad ibn Ḥasan aṭ-Ṭūsī,78,at-Tibyān fī tafsīr al-Qurʾān,39,sc.39_1_7_7
11,Iraq,Zaydi,Zaydiyya,,early,740.0,Zayd ibn ʿAlī al-Ḥusayn,82,Tafsīr ġarīb al-Qurʾān,89,sc.89_1_1_7
12,Arabian Peninsula; Greater Syria,Sunni,"Sunni, undefined",,early; pre-Mongolian,1151.0,ʿAbd al-Ḥaqq ibn Ġālib ibn ʿAṭiyya,32,al-Muḥarrar al-waǧīz fī tafsīr al-kitāb al-ʿazīz,14,sc.14_1_1_7
13,Iran (West),Sunni,Tasawwuf,,pre-Mongolian,1210.0,Rūzbihān al-Baqlī aš-Šīrāzī,11,ʿArāʾis al-bayān fī ḥaqāʾiq al-Qurʾān,4,sc.4_1_7_7
14,Iran (West),Jaʿfari,Twelver Shiʿa,,pre-Mongolian,1153.0,al-Faḍl ibn al-Ḥasan aṭ-Ṭabarsī,73,Maǧmaʿ al-bayān fī tafsīr al-Qurʾān,3,sc.3_1_7_7
15,Iran (West),Hanafi,Maturidiyya,,post-Mongolian,1311.0,Ḥāfiẓ ad-Dīn Abū l-Barakāt ʿAbdallāh ibn Aḥmad an-Nasafī,45,Madārik at-tanzīl wa-ḥaqāʾiq at-taʾwīl,17,sc.17_1_1_7
16,Egypt,Sunni,"Sunni, undefined",,post-colonial,2000.0,Laǧnat al-Qurʾān wa-s-Sunna fī Maǧlis al-Aʿlā li-š-Šuʾūn al-Islāmiyya,38,al-Muntaḫab fī tafsīr al-Qurʾān al-Karīm,65,sc.65_1_1_7
17,Iran (East),Sunni,Tasawwuf,,post-Mongolian,1328.0,Nizām ad-Dīn al-Ḥasan ibn Muḥammad an-Nīsābūrī,47,Ġarāʾib al-Qurʾān wa-raġāʾib al-furqān,22,sc.22_1_1_7
18,Greater Syria,Sunni,"Sunni, undefined",,post-colonial,2021.0,Muḥammad ʿAlī aṣ-Ṣābūnī,55,Rawāʾiʿ al-bayān tafsīr ʿāyāt al-aḥkām,85,sc.85_1_1_7
19,Egypt,Sunni,"Sunni, undefined",,Mamluk,1505.0,Ǧalāl ad-Dīn Muḥammad ibn Aḥmad al-Maḥallī,39,Tafsīr al-Ǧalālayn,8,sc.8_1_7_7
20,Yemen,Sunni,Athariyya,,18th century,1834.0,Muḥammad ibn ʿAlī ibn Muḥammad aš-Šawkānī,64,Fatḥ al-qadīr,9,sc.9_1_2_7
21,Iran (West),Sunni,Ashʿariyya,,pre-Mongolian,1209.0,Faḫr ad-Dīn ar-Rāzī,54,Mafātīḥ al-ġayb,32,sc.32_1_7_7
22,Iran (East),Sunni,Ashʿariyya; Tasawwuf,,pre-Mongolian,1072.0,ʿAbd al-Karīm ibn Hawāzin al-Qušayrī,52,Laṭāʾif al-išārāt bi-tafsīr al-Qurʾān,31,sc.31_1_7_7
23,"Andalus, al-",Sunni,Ashʿariyya,,Andalusian,1340.0,Muḥammad ibn Ahmad ibn Ǧuzayy al-Ġarnāṭī,33,Kitāb at-Tašīl li-ʿulūm at-tanzīl,88,sc.88_1_1_7
