,regions,law_schools,theology_schools,exegetical_interests,periods,date,author_name,author_id,tafsir_name,tafsir_id,sc_id
0,Arabian Peninsula,Sunni,"Sunni, undefined",,early,722,Muǧāhid ibn Ǧabr at-Tābiʿī al-Makkī al-Maḫzūmī,43,Tafsīr Muǧāhid,78,sc.78_37_107_146
1,Iran (West),Jaʿfari,Twelver Shiʿa,,pre-Mongolian,1153,al-Faḍl ibn al-Ḥasan aṭ-Ṭabarsī,73,Maǧmaʿ al-bayān fī tafsīr al-Qurʾān,3,sc.3_15_36_44
2,Iran (East); Iraq,Sunni,"Sunni, undefined",,early,767,Muqātil ibn Sulaymān al-Balḫī,44,Tafsīr Muqātil ibn Sulaymān,67,sc.67_15_32_48
3,Egypt,Sunni,"Sunni, undefined",,post-colonial,2010,Muḥammad Sayyid aṭ-Ṭanṭāwī,76,at-Tafsīr al-wasīṭ li-l-Qurʾān al-Karīm,57,sc.57_15_26_44
4,Iraq,Sunni,Tasawwuf,,post-Mongolian,1166,ʿAbd al-Qādir ibn Abū Ṣālīḥ al-Ǧīlānī,17,Tafsīr al-Ǧīlānī,95,sc.95_15_26_41
5,Greater Syria,Sunni,"Sunni, undefined",,Mamluk,1476,Abū Ḥafṣ ʿUmar ibn ʿAlī ibn ʿĀdil al-Dimašqī Nuʿmānī,26,al-Lubāb fī ʿulūm al-kitāb,24,sc.24_15_26_44
6,Greater Syria,Sunni,"Sunni, undefined",,Mamluk,1480,Burḥān ad-Dīn Abū al-Ḥasan Ibrāhīm ibn ʿUmar al-Biqāʿī,13,Naẓm ad-durar fī tanāsub al-ayāt wa-s-suwar,25,sc.25_15_36_45
7,Arabian Peninsula,Sunni,"Sunni, undefined",,post-colonial,1973,Muḥammad al-Amīn ibn Muḥammad al-Muḫtār ibn ʿAbd al-Qādir al-Ǧakanī aš-Šanqīṭī,61,Aḍwāʾ al-bayān fī īḍāḥ al-Qurʾān bi-l-Qurʾān,54,sc.54_15_41_44
8,"Andalus, al-; Egypt",Sunni,"Sunni, undefined",,Andalusian,1345,Aṯīr ad-Dīn Abū Ḥayyān Muḥammad ibn Yūsuf ibn ʿAlī ibn Ḥayyān al-Andalūsī,2,al-Baḥr al-muḥīṭ,19,sc.19_15_26_44
9,Arabian Peninsula,Sunni,"Sunni, undefined",,early,722,Muǧāhid ibn Ǧabr at-Tābiʿī al-Makkī al-Maḫzūmī,43,Tafsīr Muǧāhid,78,sc.78_15_24_54
10,Iran (West),Sunni,Tasawwuf,,pre-Mongolian,1210,Rūzbihān al-Baqlī aš-Šīrāzī,11,ʿArāʾis al-bayān fī ḥaqāʾiq al-Qurʾān,4,sc.4_15_36_41
