,regions,law_schools,theology_schools,exegetical_interests,periods,date,author_name,author_id,tafsir_name,tafsir_id
0,['Iran (East)'],['Shafiʿi'],"['Sunni, undefined']",,"['early, post-Buyid', 'Mamluk']",1035,Aḥmad ibn Muḥammad Abū Isḥāq aṯ-Ṯaʿlabī,75,al-Kašf wa-l-bayān fī tafsīr al-Qurʾān,75
1,"['Arabian Peninsula', 'Iraq']",['Maliki'],"['Sunni, undefined']",,"['Abbasid', 'early, post-Buyid']",1045,Makkī ibn Abū Ṭālib al-Qaysī,40,al-Hidāya ilā bulūġ an-nihāya,92
2,['Iran (West)'],['Sunni'],['Ashʿariyya'],,['post-Mongolian'],1319,ʿAbdallāh ibn ʿUmar al-Bayḍāwī,12,Anwār at-tanzīl wa-asrār at-taʾwīl,6
3,['Iraq'],['Sunni'],['Athariyya'],,['Abbasid'],923,Muḥammad ibn Ǧarīr aṭ-Ṭabarī,72,Ǧāmiʿ al-bayān ʿan taʾwīl āy al-Qurʾān,1
4,['Arabian Peninsula'],['Sunni'],"['Sunni, undefined']",,['post-colonial'],1973,Muḥammad al-Amīn ibn Muḥammad al-Muḫtār ibn ʿAbd al-Qādir al-Ǧakanī aš-Šanqīṭī,61,Aḍwāʾ al-bayān fī īḍāḥ al-Qurʾān bi-l-Qurʾān,54
5,['Iran (West)'],['Jaʿfari'],['Twelver Shiʿa'],,['Safavid'],1649,Ṣadr ad-Dīn Muḥammad aš-Šīrāzī,66,at-Tafsīr,40
6,['Iran (West)'],['Jaʿfari'],['Tasawwuf'],,['colonial'],1909,Sulṭān Muḥammad al-Ǧunābaḏī,18,Tafsīr Bayān as-saʿāda fī maqāmāt al-ʿibāda,42
7,['Iran (East)'],['Zaydi'],"['Sunni, undefined']",,['pre-Mongolian'],1021,Muḥammad ibn al-Ḥusayn as-Sulamī,67,Ḥaqāʾiq at-tafsīr,30
8,['Iran (West)'],['Sunni'],"['Sunni, undefined']",,"['early, post-Buyid']",971,Sulaymān ibn Aḥmad aṭ-Ṭabarānī,71,Tafsīr al-Qurʾān al-karīm,91
9,['Greater Syria'],['Sunni'],"['Sunni, undefined']",,['post-colonial'],2022,Asʿad Maḥmūd Ḥawmad,7,"Aysar at-tafāsīr: tafsīr, asbāb nuzūl, aḥādīṯ, namāḏiǧ iʿrāb",71
10,['Iran (West)'],['Sunni'],['Ashʿariyya'],,['pre-Mongolian'],1209,Faḫr ad-Dīn ar-Rāzī,54,Mafātīḥ al-ġayb,32
11,['Yemen'],['Sunni'],['Athariyya'],,['18th century'],1834,Muḥammad ibn ʿAlī ibn Muḥammad aš-Šawkānī,64,Fatḥ al-qadīr,9
12,['Greater Syria'],['Sunni'],"['Sunni, undefined']",,['post-colonial'],2021,Muḥammad ʿAlī aṣ-Ṣābūnī,55,Muḫtaṣar tafsīr Ibn Kaṯīr,84
13,['Yemen'],['Maliki'],['Zaydiyya'],,['Ottoman'],1695,Aḥmad ʿAlī Muḥammad ʿAlī al-Aʿqam al-Ānisī,6,Tafsīr al-Aʿqam,47
14,['Iran (East)'],['Sunni'],"['Sunni, undefined']",,"['early, post-Buyid']",942,Abū Bakr Muḥammad ibn ʿAzīz as-Siǧistānī,65,Nuzhat al-qulūb fī ʿalām al-ġuyūb,105
